date,l_ipn,r_asn,f
2006-07-01,5,2152,3
2006-07-01,5,3561,3
2006-07-01,5,4134,1
2006-07-01,5,4808,7
2006-07-01,5,8070,6
2006-07-01,5,8075,4
2006-07-01,5,11908,6
2006-07-01,5,13867,2
2006-07-01,5,14366,8
2006-07-01,5,14501,1
2006-07-01,5,15290,2
2006-07-01,5,24915,1
2006-07-02,5,209,1
2006-07-02,5,766,1
2006-07-02,5,2152,2
2006-07-02,5,3269,5
2006-07-02,5,3356,1
2006-07-02,5,3593,1
2006-07-02,5,4134,10
2006-07-02,5,4808,7
2006-07-02,5,4837,2
2006-07-02,5,8070,5
2006-07-02,5,8075,5
2006-07-02,5,10139,7
2006-07-02,5,11351,2
2006-07-02,5,13749,1
2006-07-02,5,13867,2
2006-07-02,5,14366,4
2006-07-02,5,17184,2
2006-07-02,5,17429,2
2006-07-03,5,680,2
2006-07-03,5,2152,2
2006-07-03,5,3269,6
2006-07-03,5,3561,4
2006-07-03,5,4134,3
2006-07-03,5,4230,2
2006-07-03,5,4513,2
2006-07-03,5,4766,1
2006-07-03,5,4808,3
2006-07-03,5,6432,4
2006-07-03,5,7132,2
2006-07-03,5,8070,6
2006-07-03,5,8075,6
2006-07-03,5,9156,1
2006-07-03,5,9271,2
2006-07-03,5,9316,1
2006-07-03,5,9394,1
2006-07-03,5,12222,3
2006-07-03,5,13867,2
2006-07-03,5,14779,1
2006-07-03,5,15169,3
2006-07-03,5,18229,2
2006-07-03,5,19318,6
2006-07-03,5,21844,1
2006-07-03,5,22781,1
2006-07-03,5,26085,1
2006-07-03,5,26101,2
2006-07-03,5,26201,1
2006-07-04,5,852,2
2006-07-04,5,2152,2
2006-07-04,5,2418,2
2006-07-04,5,3269,22
2006-07-04,5,3354,2
2006-07-04,5,3356,1
2006-07-04,5,3561,2
2006-07-04,5,4134,4
2006-07-04,5,4589,4
2006-07-04,5,4812,1
2006-07-04,5,8070,4
2006-07-04,5,8075,5
2006-07-04,5,9271,2
2006-07-04,5,9800,2
2006-07-04,5,9812,1
2006-07-04,5,13867,2
2006-07-04,5,18229,2
2006-07-04,5,19191,2
2006-07-04,5,27699,2
2006-07-05,5,4,1
2006-07-05,5,286,6
2006-07-05,5,553,6
2006-07-05,5,2152,2
2006-07-05,5,3356,1
2006-07-05,5,3561,1
2006-07-05,5,4538,77
2006-07-05,5,4766,2
2006-07-05,5,4837,15
2006-07-05,5,8070,3
2006-07-05,5,8075,6
2006-07-05,5,10292,4
2006-07-05,5,13749,2
2006-07-05,5,13867,2
2006-07-05,5,27715,1
2006-07-06,5,2152,2
2006-07-06,5,3561,2
2006-07-06,5,4134,1
2006-07-06,5,4766,1
2006-07-06,5,8070,5
2006-07-06,5,8075,5
2006-07-06,5,11062,6
2006-07-06,5,12297,2
2006-07-06,5,13867,2
2006-07-06,5,18229,2
2006-07-06,5,20773,2
2006-07-06,5,25956,2
2006-07-06,5,34104,2
2006-07-07,5,205,1
2006-07-07,5,1257,1
2006-07-07,5,2152,2
2006-07-07,5,3561,3
2006-07-07,5,4134,29
2006-07-07,5,6478,4
2006-07-07,5,7132,1
2006-07-07,5,8070,6
2006-07-07,5,8075,5
2006-07-07,5,9318,3
2006-07-07,5,13867,2
2006-07-08,5,209,2
2006-07-08,5,2152,3
2006-07-08,5,3356,2
2006-07-08,5,3561,1
2006-07-08,5,3786,1
2006-07-08,5,4134,5
2006-07-08,5,4837,18
2006-07-08,5,5617,1
2006-07-08,5,8070,5
2006-07-08,5,8075,4
2006-07-08,5,13867,2
2006-07-08,5,14383,2
2006-07-08,5,17964,1
2006-07-08,5,25074,2
2006-07-08,5,27696,2
2006-07-09,5,2152,2
2006-07-09,5,3356,2
2006-07-09,5,3561,1
2006-07-09,5,4134,1
2006-07-09,5,4323,2
2006-07-09,5,4766,2
2006-07-09,5,4837,3
2006-07-09,5,8070,5
2006-07-09,5,8075,5
2006-07-09,5,8881,2
2006-07-09,5,9916,1
2006-07-09,5,13867,2
2006-07-09,5,14265,2
2006-07-09,5,17672,2
2006-07-09,5,17897,4
2006-07-09,5,20718,5
2006-07-09,5,21522,2
2006-07-10,5,2152,2
2006-07-10,5,3561,1
2006-07-10,5,4134,6
2006-07-10,5,4808,6
2006-07-10,5,4812,2
2006-07-10,5,6079,16
2006-07-10,5,7132,1
2006-07-10,5,7788,1
2006-07-10,5,8070,6
2006-07-10,5,8075,3
2006-07-10,5,8708,1
2006-07-10,5,9394,1
2006-07-10,5,13867,2
2006-07-10,5,17672,2
2006-07-10,5,17897,2
2006-07-10,5,20401,1
2006-07-10,5,24940,1
2006-07-10,5,30380,2
2006-07-11,5,1668,4
2006-07-11,5,2152,3
2006-07-11,5,3320,8
2006-07-11,5,3356,1
2006-07-11,5,3561,2
2006-07-11,5,4134,106
2006-07-11,5,4538,6
2006-07-11,5,4804,6
2006-07-11,5,4837,1
2006-07-11,5,7132,4
2006-07-11,5,8070,5
2006-07-11,5,8075,7
2006-07-11,5,13867,2
2006-07-11,5,14265,2
2006-07-12,5,2152,2
2006-07-12,5,3561,3
2006-07-12,5,4134,2
2006-07-12,5,4766,1
2006-07-12,5,4812,2
2006-07-12,5,4837,1
2006-07-12,5,8070,7
2006-07-12,5,8075,3
2006-07-12,5,13867,2
2006-07-12,5,15464,1
2006-07-12,5,17964,1
2006-07-12,5,21840,2
2006-07-13,5,3356,1
2006-07-13,5,4134,2
2006-07-13,5,4230,2
2006-07-13,5,4766,2
2006-07-13,5,4814,5
2006-07-13,5,4837,1
2006-07-13,5,7015,11
2006-07-13,5,7341,1
2006-07-13,5,8070,2
2006-07-13,5,8866,1
2006-07-13,5,8972,1
2006-07-13,5,13488,6
2006-07-13,5,13867,2
2006-07-13,5,14501,2
2006-07-13,5,16206,1
2006-07-13,5,19817,1
2006-07-14,5,8,6
2006-07-14,5,852,4
2006-07-14,5,3561,1
2006-07-14,5,4134,2
2006-07-14,5,4812,1
2006-07-14,5,7018,2
2006-07-14,5,8075,2
2006-07-14,5,13571,3
2006-07-14,5,13867,2
2006-07-14,5,22822,4
2006-07-14,5,23724,3
2006-07-15,5,81,2
2006-07-15,5,209,1
2006-07-15,5,701,2
2006-07-15,5,2152,1
2006-07-15,5,3356,1
2006-07-15,5,3561,1
2006-07-15,5,4134,2
2006-07-15,5,4436,4
2006-07-15,5,4837,308
2006-07-15,5,5078,2
2006-07-15,5,8075,4
2006-07-15,5,9457,1
2006-07-15,5,9800,4
2006-07-15,5,10223,1
2006-07-15,5,13749,5
2006-07-15,5,14501,1
2006-07-15,5,17785,2
2006-07-15,5,19742,1
2006-07-15,5,23724,1
2006-07-15,5,24138,1
2006-07-15,5,31252,1
2006-07-16,5,205,3
2006-07-16,5,1241,2
2006-07-16,5,1785,2
2006-07-16,5,3561,1
2006-07-16,5,4134,1
2006-07-16,5,4732,2
2006-07-16,5,6724,1
2006-07-16,5,7132,1
2006-07-16,5,8070,2
2006-07-16,5,8560,2
2006-07-16,5,8972,2
2006-07-16,5,18302,2
2006-07-16,5,35005,7
2006-07-17,5,8,2
2006-07-17,5,27,1
2006-07-17,5,2828,2
2006-07-17,5,2907,2
2006-07-17,5,3320,2
2006-07-17,5,3561,1
2006-07-17,5,4323,2
2006-07-17,5,4812,2
2006-07-17,5,5078,6
2006-07-17,5,5396,1
2006-07-17,5,5617,2
2006-07-17,5,8070,2
2006-07-17,5,10429,1
2006-07-17,5,12252,2
2006-07-17,5,13693,2
2006-07-17,5,13749,1
2006-07-17,5,15542,1
2006-07-17,5,31252,1
2006-07-18,5,2152,2
2006-07-18,5,3215,2
2006-07-18,5,3356,1
2006-07-18,5,4134,3
2006-07-18,5,5408,2
2006-07-18,5,6429,1
2006-07-18,5,8070,2
2006-07-18,5,12392,11
2006-07-18,5,21844,1
2006-07-18,5,24851,4
2006-07-18,5,28753,2
2006-07-19,5,3356,1
2006-07-19,5,3462,1
2006-07-19,5,3561,1
2006-07-19,5,4812,1
2006-07-19,5,4837,4
2006-07-19,5,5078,2
2006-07-19,5,7132,1
2006-07-19,5,8070,4
2006-07-19,5,9116,2
2006-07-19,5,9919,1
2006-07-19,5,11351,2
2006-07-19,5,19094,3
2006-07-20,5,1668,2
2006-07-20,5,3462,1
2006-07-20,5,4134,3
2006-07-20,5,4766,1
2006-07-20,5,4812,1
2006-07-20,5,4837,9
2006-07-20,5,7132,1
2006-07-20,5,8070,2
2006-07-20,5,9800,2
2006-07-20,5,9803,2
2006-07-20,5,25074,1
2006-07-21,5,81,2
2006-07-21,5,3462,1
2006-07-21,5,3561,1
2006-07-21,5,4134,35
2006-07-21,5,4837,31
2006-07-21,5,6221,6
2006-07-21,5,6478,1
2006-07-21,5,6724,4
2006-07-21,5,7132,1
2006-07-21,5,8070,2
2006-07-21,5,8151,1
2006-07-21,5,8321,1
2006-07-21,5,8708,1
2006-07-21,5,9394,1
2006-07-21,5,13749,4
2006-07-21,5,17850,2
2006-07-22,5,8,2
2006-07-22,5,209,5
2006-07-22,5,2152,22
2006-07-22,5,3356,3
2006-07-22,5,3561,5
2006-07-22,5,3786,2
2006-07-22,5,4134,10
2006-07-22,5,4538,3
2006-07-22,5,4691,1
2006-07-22,5,4766,1
2006-07-22,5,4808,3
2006-07-22,5,4812,2
2006-07-22,5,4837,1
2006-07-22,5,6467,1
2006-07-22,5,6746,1
2006-07-22,5,8070,1
2006-07-22,5,8075,1
2006-07-22,5,9156,1
2006-07-22,5,9457,1
2006-07-22,5,10421,1
2006-07-22,5,11103,1
2006-07-22,5,11486,3
2006-07-22,5,11608,4
2006-07-22,5,12222,3
2006-07-22,5,12252,1
2006-07-22,5,13749,2
2006-07-22,5,13867,4
2006-07-22,5,14501,1
2006-07-22,5,14776,2
2006-07-22,5,14985,2
2006-07-22,5,15169,18
2006-07-22,5,16509,1
2006-07-22,5,18118,7
2006-07-22,5,21844,1
2006-07-22,5,22781,1
2006-07-22,5,26085,2
2006-07-22,5,26101,28
2006-07-22,5,26201,1
2006-07-22,5,27183,1
2006-07-22,5,30217,10
2006-07-22,5,32666,1
2006-07-23,5,209,10
2006-07-23,5,559,4
2006-07-23,5,702,5
2006-07-23,5,2152,103
2006-07-23,5,2828,2
2006-07-23,5,2914,1
2006-07-23,5,3269,3
2006-07-23,5,3356,3
2006-07-23,5,3462,1
2006-07-23,5,3561,36
2006-07-23,5,4134,11
2006-07-23,5,4538,1
2006-07-23,5,4766,2
2006-07-23,5,6432,27
2006-07-23,5,7132,1
2006-07-23,5,8001,2
2006-07-23,5,8070,5
2006-07-23,5,8075,5
2006-07-23,5,8560,1
2006-07-23,5,9156,10
2006-07-23,5,9318,1
2006-07-23,5,10532,8
2006-07-23,5,10552,4
2006-07-23,5,10565,1
2006-07-23,5,10933,2
2006-07-23,5,11274,1
2006-07-23,5,11486,15
2006-07-23,5,12168,1
2006-07-23,5,12182,1
2006-07-23,5,12222,14
2006-07-23,5,13601,31
2006-07-23,5,13649,2
2006-07-23,5,13749,2
2006-07-23,5,13867,2
2006-07-23,5,14173,1
2006-07-23,5,14446,59
2006-07-23,5,14743,69
2006-07-23,5,14744,4
2006-07-23,5,14776,4
2006-07-23,5,14779,13
2006-07-23,5,14780,2
2006-07-23,5,14829,3
2006-07-23,5,15169,93
2006-07-23,5,16509,11
2006-07-23,5,20115,2
2006-07-23,5,21568,3
2006-07-23,5,21844,120
2006-07-23,5,22781,3
2006-07-23,5,23719,7
2006-07-23,5,25751,9
2006-07-23,5,26085,15
2006-07-23,5,26101,107
2006-07-23,5,26201,3
2006-07-23,5,26277,1
2006-07-23,5,30015,1
2006-07-23,5,30209,4
2006-07-23,5,30496,2
2006-07-23,5,30983,1
2006-07-23,5,33739,5
2006-07-23,5,36839,2
2006-07-24,5,8,2
2006-07-24,5,2152,2
2006-07-24,5,3257,1
2006-07-24,5,3269,2
2006-07-24,5,3340,1
2006-07-24,5,3491,2
2006-07-24,5,3561,3
2006-07-24,5,4134,2
2006-07-24,5,4230,1
2006-07-24,5,4766,6
2006-07-24,5,4812,2
2006-07-24,5,4837,15
2006-07-24,5,5408,2
2006-07-24,5,6746,1
2006-07-24,5,7132,3
2006-07-24,5,8070,5
2006-07-24,5,8075,6
2006-07-24,5,9370,2
2006-07-24,5,9457,2
2006-07-24,5,13867,2
2006-07-24,5,14117,2
2006-07-24,5,14280,1
2006-07-24,5,18812,1
2006-07-24,5,25369,1
2006-07-24,5,27699,1
2006-07-24,5,30983,1
2006-07-25,5,1955,2
2006-07-25,5,2152,4
2006-07-25,5,3462,1
2006-07-25,5,3561,3
2006-07-25,5,3595,2
2006-07-25,5,3786,2
2006-07-25,5,4134,2
2006-07-25,5,4713,2
2006-07-25,5,5713,1
2006-07-25,5,6140,2
2006-07-25,5,6867,1
2006-07-25,5,7018,1
2006-07-25,5,7132,1
2006-07-25,5,8070,7
2006-07-25,5,8075,3
2006-07-25,5,8167,1
2006-07-25,5,9156,1
2006-07-25,5,13041,1
2006-07-25,5,13867,2
2006-07-25,5,15169,4
2006-07-25,5,16735,1
2006-07-25,5,17964,34
2006-07-25,5,21844,1
2006-07-25,5,22026,1
2006-07-25,5,22653,2
2006-07-25,5,22781,1
2006-07-25,5,24900,1
2006-07-25,5,26085,1
2006-07-25,5,26101,2
2006-07-25,5,26201,1
2006-07-26,5,1239,2
2006-07-26,5,2152,2
2006-07-26,5,3356,1
2006-07-26,5,3561,1
2006-07-26,5,4134,2
2006-07-26,5,4837,22
2006-07-26,5,5778,2
2006-07-26,5,8070,4
2006-07-26,5,8075,5
2006-07-26,5,8522,2
2006-07-26,5,13867,2
2006-07-26,5,17775,2
2006-07-26,5,18942,2
2006-07-26,5,22773,1
2006-07-26,5,24900,2
2006-07-26,5,24940,1
2006-07-26,5,28753,1
2006-07-26,5,33130,1
2006-07-26,5,35216,2
2006-07-27,5,27,1
2006-07-27,5,2152,3
2006-07-27,5,3209,3
2006-07-27,5,3561,1
2006-07-27,5,3786,2
2006-07-27,5,4812,2
2006-07-27,5,5617,2
2006-07-27,5,6364,2
2006-07-27,5,6724,3
2006-07-27,5,7018,6
2006-07-27,5,7132,1
2006-07-27,5,7332,2
2006-07-27,5,8070,4
2006-07-27,5,8075,6
2006-07-27,5,8708,3
2006-07-27,5,11071,1
2006-07-27,5,12322,2
2006-07-27,5,13749,2
2006-07-27,5,13867,2
2006-07-27,5,17897,1
2006-07-27,5,18566,1
2006-07-27,5,27257,2
2006-07-27,5,30496,2
2006-07-27,5,32575,2
2006-07-28,5,46,1
2006-07-28,5,852,2
2006-07-28,5,1901,3
2006-07-28,5,2152,2
2006-07-28,5,3561,3
2006-07-28,5,4134,7
2006-07-28,5,4812,4
2006-07-28,5,8070,8
2006-07-28,5,8075,3
2006-07-28,5,8708,1
2006-07-28,5,8972,6
2006-07-28,5,9316,2
2006-07-28,5,9800,2
2006-07-28,5,9803,1
2006-07-28,5,12322,4
2006-07-28,5,13749,1
2006-07-28,5,13867,2
2006-07-28,5,15083,2
2006-07-28,5,17964,1
2006-07-28,5,20161,1
2006-07-28,5,21844,2
2006-07-28,5,24400,2
2006-07-28,5,25761,1
2006-07-28,5,29208,3
2006-07-28,5,30315,1
2006-07-29,5,553,4
2006-07-29,5,702,4
2006-07-29,5,2152,3
2006-07-29,5,3112,3
2006-07-29,5,3215,1
2006-07-29,5,3269,4
2006-07-29,5,3356,3
2006-07-29,5,3388,4
2006-07-29,5,3561,1
2006-07-29,5,4812,2
2006-07-29,5,6568,1
2006-07-29,5,8070,4
2006-07-29,5,8075,6
2006-07-29,5,12769,2
2006-07-29,5,13041,2
2006-07-29,5,13867,2
2006-07-29,5,15512,2
2006-07-29,5,27257,1
2006-07-29,5,27364,2
2006-07-29,5,30058,1
2006-07-29,5,30380,4
2006-07-30,5,2152,2
2006-07-30,5,2614,1
2006-07-30,5,4134,22
2006-07-30,5,4837,18
2006-07-30,5,6140,1
2006-07-30,5,6453,2
2006-07-30,5,7132,3
2006-07-30,5,8070,6
2006-07-30,5,8075,3
2006-07-30,5,8166,1
2006-07-30,5,9318,2
2006-07-30,5,13867,2
2006-07-30,5,14492,2
2006-07-30,5,15471,2
2006-07-30,5,17465,1
2006-07-30,5,18302,1
2006-07-30,5,30315,2
2006-07-31,5,2152,1
2006-07-31,5,3112,1
2006-07-31,5,3561,2
2006-07-31,5,3595,3
2006-07-31,5,4134,38
2006-07-31,5,5483,1
2006-07-31,5,7132,5
2006-07-31,5,8070,6
2006-07-31,5,8075,4
2006-07-31,5,13867,2
2006-07-31,5,14361,2
2006-07-31,5,15557,1
2006-07-31,5,18118,1
2006-07-31,5,19029,2
2006-07-31,5,19169,1
2006-07-31,5,20474,6
2006-07-31,5,23724,4
2006-08-01,5,2152,2
2006-08-01,5,3320,4
2006-08-01,5,3356,2
2006-08-01,5,3561,1
2006-08-01,5,4134,1
2006-08-01,5,4812,2
2006-08-01,5,7132,23
2006-08-01,5,8070,3
2006-08-01,5,8075,8
2006-08-01,5,9316,1
2006-08-01,5,12322,1
2006-08-01,5,13867,2
2006-08-01,5,16246,1
2006-08-01,5,18118,4
2006-08-01,5,25525,2
2006-08-02,5,1239,1
2006-08-02,5,2152,2
2006-08-02,5,2900,5
2006-08-02,5,3320,2
2006-08-02,5,3561,1
2006-08-02,5,4134,26
2006-08-02,5,4230,1
